COMPLETED_INDEX=59 | 60/2633 | culture=Sudanese | OK 20/20
COMPLETED_INDEX=639 | 640/2633 | culture=Malaysian | OK 20/20
COMPLETED_INDEX=659 | 660/2633 | culture=Ethiopian | OK 20/20
COMPLETED_INDEX=679 | 680/2633 | culture=Palestinian | OK 20/20
COMPLETED_INDEX=719 | 720/2633 | culture=New Zealander | OK 20/20
COMPLETED_INDEX=699 | 700/2633 | culture=Kenyan | OK 20/20
COMPLETED_INDEX=739 | 740/2633 | culture=Laotian | OK 20/20
COMPLETED_INDEX=759 | 760/2633 | culture=Cypriot | OK 20/20
COMPLETED_INDEX=779 | 780/2633 | culture=Iranian | OK 20/20
COMPLETED_INDEX=799 | 800/2633 | culture=Venezuelan | OK 20/20
COMPLETED_INDEX=839 | 840/2633 | culture=Hungarian | OK 20/20
COMPLETED_INDEX=819 | 820/2633 | culture=Saudi Arabian | OK 20/20
COMPLETED_INDEX=859 | 860/2633 | culture=Samoan | OK 13/20
COMPLETED_INDEX=899 | 900/2633 | culture=Cambodian | OK 20/20
COMPLETED_INDEX=879 | 880/2633 | culture=American | OK 20/20
COMPLETED_INDEX=919 | 920/2633 | culture=Egyptian | OK 20/20
COMPLETED_INDEX=939 | 940/2633 | culture=Zimbabwean | OK 20/20
COMPLETED_INDEX=979 | 980/2633 | culture=Spanish | OK 10/20
COMPLETED_INDEX=959 | 960/2633 | culture=Sudanese | OK 20/20
COMPLETED_INDEX=999 | 1000/2633 | culture=Hong Konger | OK 20/20
COMPLETED_INDEX=1019 | 1020/2633 | culture=Vietnamese | OK 20/20
COMPLETED_INDEX=1039 | 1040/2633 | culture=Italian | OK 18/20
COMPLETED_INDEX=1079 | 1080/2633 | culture=British | OK 20/20
COMPLETED_INDEX=1059 | 1060/2633 | culture=Canadian | OK 20/20
COMPLETED_INDEX=1119 | 1120/2633 | culture=Pakistani | OK 15/20
COMPLETED_INDEX=1099 | 1100/2633 | culture=Timorese | OK 20/20
COMPLETED_INDEX=1139 | 1140/2633 | culture=Mexican | OK 20/20
COMPLETED_INDEX=1159 | 1160/2633 | culture=Taiwanese | OK 20/20
COMPLETED_INDEX=1179 | 1180/2633 | culture=Somali | OK 20/20
COMPLETED_INDEX=1199 | 1200/2633 | culture=Swedish | OK 20/20
COMPLETED_INDEX=1219 | 1220/2633 | culture=Burmese | OK 20/20
COMPLETED_INDEX=1239 | 1240/2633 | culture=Maltese | OK 20/20
COMPLETED_INDEX=1259 | 1260/2633 | culture=German | OK 20/20
COMPLETED_INDEX=1279 | 1280/2633 | culture=Ukrainian | OK 20/20
COMPLETED_INDEX=1299 | 1300/2633 | culture=Russian | OK 20/20
COMPLETED_INDEX=1319 | 1320/2633 | culture=Bangladeshi | OK 20/20
COMPLETED_INDEX=1339 | 1340/2633 | culture=Portuguese | OK 20/20
COMPLETED_INDEX=1399 | 1400/2633 | culture=Mauritian | OK 20/20
COMPLETED_INDEX=1359 | 1360/2633 | culture=French | OK 20/20
COMPLETED_INDEX=1379 | 1380/2633 | culture=Croatian | OK 19/20
COMPLETED_INDEX=1419 | 1420/2633 | culture=Austrian | OK 20/20
COMPLETED_INDEX=1439 | 1440/2633 | culture=South African | OK 20/20
COMPLETED_INDEX=1459 | 1460/2633 | culture=Papua New Guinean | OK 20/20
COMPLETED_INDEX=1479 | 1480/2633 | culture=Afghan | OK 20/20
COMPLETED_INDEX=1519 | 1520/2633 | culture=Sri Lankan | OK 20/20
COMPLETED_INDEX=1499 | 1500/2633 | culture=Australian | OK 20/20
COMPLETED_INDEX=1539 | 1540/2633 | culture=Malaysian | OK 16/20
COMPLETED_INDEX=1559 | 1560/2633 | culture=Ethiopian | OK 20/20
COMPLETED_INDEX=1579 | 1580/2633 | culture=Palestinian | OK 20/20
COMPLETED_INDEX=1599 | 1600/2633 | culture=Kenyan | OK 20/20
COMPLETED_INDEX=1619 | 1620/2633 | culture=New Zealander | OK 20/20
COMPLETED_INDEX=1639 | 1640/2633 | culture=Laotian | OK 20/20
COMPLETED_INDEX=1659 | 1660/2633 | culture=Indian | OK 20/20
COMPLETED_INDEX=1699 | 1700/2633 | culture=Venezuelan | OK 15/20
COMPLETED_INDEX=1679 | 1680/2633 | culture=Iranian | OK 20/20
COMPLETED_INDEX=1739 | 1740/2633 | culture=Hungarian | OK 20/20
COMPLETED_INDEX=1759 | 1760/2633 | culture=Turkish | OK 20/20
COMPLETED_INDEX=1799 | 1800/2633 | culture=South Sudanese | OK 20/20
COMPLETED_INDEX=1719 | 1720/2633 | culture=Saudi Arabian | OK 20/20
COMPLETED_INDEX=1779 | 1780/2633 | culture=American | OK 20/20
COMPLETED_INDEX=1819 | 1820/2633 | culture=Austrian | OK 20/20
COMPLETED_INDEX=1839 | 1840/2633 | culture=Polish | OK 20/20
COMPLETED_INDEX=1899 | 1900/2633 | culture=Peruvian | OK 20/20
COMPLETED_INDEX=1919 | 1920/2633 | culture=Filipino | OK 20/20
COMPLETED_INDEX=1859 | 1860/2633 | culture=Syrian | OK 20/20
COMPLETED_INDEX=1879 | 1880/2633 | culture=Tongan | OK 20/20
COMPLETED_INDEX=1939 | 1940/2633 | culture=Pakistani | OK 20/20
COMPLETED_INDEX=2019 | 2020/2633 | culture=Japanese | OK 20/20
COMPLETED_INDEX=1979 | 1980/2633 | culture=Timorese | OK 20/20
COMPLETED_INDEX=1999 | 2000/2633 | culture=Irish | OK 20/20
COMPLETED_INDEX=1959 | 1960/2633 | culture=Sri Lankan | OK 20/20
COMPLETED_INDEX=2039 | 2040/2633 | culture=Nepalese | OK 20/20
COMPLETED_INDEX=2059 | 2060/2633 | culture=Nepalese | OK 20/20
COMPLETED_INDEX=2099 | 2100/2633 | culture=Chinese | OK 20/20
COMPLETED_INDEX=2079 | 2080/2633 | culture=Cambodian | OK 20/20
COMPLETED_INDEX=2119 | 2120/2633 | culture=Singaporean | OK 20/20
COMPLETED_INDEX=2139 | 2140/2633 | culture=Saudi Arabian | OK 20/20
COMPLETED_INDEX=2179 | 2180/2633 | culture=Saudi Arabian | OK 20/20
COMPLETED_INDEX=2159 | 2160/2633 | culture=Indonesian | OK 20/20
COMPLETED_INDEX=2199 | 2200/2633 | culture=Saudi Arabian | OK 20/20
COMPLETED_INDEX=2219 | 2220/2633 | culture=Romanian | OK 20/20
COMPLETED_INDEX=2259 | 2260/2633 | culture=Afghan | OK 20/20
COMPLETED_INDEX=2239 | 2240/2633 | culture=German | OK 20/20
COMPLETED_INDEX=2279 | 2280/2633 | culture=Croatian | OK 20/20
COMPLETED_INDEX=2319 | 2320/2633 | culture=Indian | OK 20/20
COMPLETED_INDEX=2299 | 2300/2633 | culture=Hong Konger | OK 20/20
COMPLETED_INDEX=2339 | 2340/2633 | culture=Hong Konger | OK 20/20
COMPLETED_INDEX=2379 | 2380/2633 | culture=Vietnamese | OK 20/20
COMPLETED_INDEX=2359 | 2360/2633 | culture=Spanish | OK 20/20
COMPLETED_INDEX=2399 | 2400/2633 | culture=Spanish | OK 20/20
COMPLETED_INDEX=2419 | 2420/2633 | culture=Greek | OK 20/20
COMPLETED_INDEX=2479 | 2480/2633 | culture=Ethiopian | OK 20/20
COMPLETED_INDEX=2459 | 2460/2633 | culture=Italian | OK 20/20
COMPLETED_INDEX=2439 | 2440/2633 | culture=Australian | OK 20/20
COMPLETED_INDEX=2499 | 2500/2633 | culture=Portuguese | OK 20/20
COMPLETED_INDEX=2519 | 2520/2633 | culture=Thai | OK 20/20
COMPLETED_INDEX=2539 | 2540/2633 | culture=Serbian | OK 20/20
COMPLETED_INDEX=2559 | 2560/2633 | culture=Laotian | OK 20/20
COMPLETED_INDEX=2579 | 2580/2633 | culture=Israeli | OK 20/20
COMPLETED_INDEX=2599 | 2600/2633 | culture=Sudanese | OK 20/20
COMPLETED_INDEX=2632 | 2633/2633 | culture=Portuguese | OK 12/13
COMPLETED_INDEX=2619 | 2620/2633 | culture=Mauritian | OK 20/20
